week_dt,TV,radio,newspaper,sales,consumer_index
2016-09-01,230.1,37.8,69.2,22.1,3.118933879300509
2016-09-08,44.5,39.3,45.1,10.4,3.7722885354979416
2016-09-15,17.2,45.9,69.3,9.3,6.602882336416362
2016-09-22,151.5,41.3,58.5,18.5,4.252268936493067
2016-09-29,180.8,10.8,58.4,12.9,4.768574966821767
2016-10-06,8.7,48.9,75.0,7.2,4.905611574766307
2016-10-13,57.5,32.8,23.5,11.8,2.9817427139496786
2016-10-20,120.2,19.6,11.6,13.2,4.956582992245129
2016-10-27,8.6,2.1,1.0,4.8,2.378291364691871
2016-11-03,199.8,2.6,21.2,10.6,2.3203000004578325
2016-11-10,66.1,5.8,24.2,8.6,4.0629281481256525
2016-11-17,214.7,24.0,4.0,17.4,4.380859084456873
2016-11-24,23.8,35.1,65.9,9.2,5.447394304519586
2016-12-01,97.5,7.6,7.2,9.7,1.5856688212593597
2016-12-08,204.1,32.9,46.0,19.0,3.4221470353542425
2016-12-15,195.4,47.7,52.9,22.4,4.83380218330877
2016-12-22,67.8,36.6,114.0,12.5,4.58346490521331
2016-12-29,281.4,39.6,55.8,24.4,1.2921246638623547
2017-01-05,69.2,20.5,18.3,11.3,3.607865551169718
2017-01-12,147.3,23.9,19.1,14.6,5.010083008207914
2017-01-19,218.4,27.7,53.4,18.0,3.20166166831139
2017-01-26,237.4,5.1,23.5,12.5,3.9059370607490074
2017-02-02,13.2,15.9,49.6,5.6,5.079588440063953
2017-02-09,228.3,16.9,26.2,15.5,4.404968711064299
2017-02-16,62.3,12.6,18.3,9.7,4.035934853023417
2017-02-23,262.9,3.5,19.5,12.0,3.564196788674652
2017-03-02,142.9,29.3,12.6,15.0,4.780338364119114
2017-03-09,240.1,16.7,22.9,15.9,4.119039870169805
2017-03-16,248.8,27.1,22.9,18.9,4.742581260065682
2017-03-23,70.6,16.0,40.8,10.5,4.068650201021589
2017-03-30,292.9,28.3,43.2,21.4,4.585775191450277
2017-04-06,112.9,17.4,38.6,11.9,3.1130678684109787
2017-04-13,97.2,1.5,30.0,9.6,4.305227623220938
2017-04-20,265.6,20.0,0.3,17.4,4.544100081396542
2017-04-27,95.7,1.4,7.4,9.5,5.904177019499343
2017-05-04,290.7,4.1,8.5,12.8,5.827622101768493
2017-05-11,266.9,43.8,5.0,25.4,3.955500004330913
2017-05-18,74.7,49.4,45.7,14.7,3.7528944225556806
2017-05-25,43.1,26.7,35.1,10.1,4.586127708064174
2017-06-01,228.0,37.7,32.0,21.5,4.726490050772266
2017-06-08,202.5,22.3,31.6,16.6,2.895527997820447
2017-06-15,177.0,33.4,38.7,17.1,3.637769880679905
2017-06-22,293.6,27.7,1.8,20.7,3.4405352849954802
2017-06-29,206.9,8.4,26.4,12.9,5.498289389378931
2017-07-06,25.1,25.7,43.3,8.5,6.356069203297574
2017-07-13,175.1,22.5,31.5,14.9,4.826464168345913
2017-07-20,89.7,9.9,35.7,10.6,3.131464060484509
2017-07-27,239.9,41.5,18.5,23.2,4.024021812131064
2017-08-03,227.2,15.8,49.9,14.8,4.666723135500831
2017-08-10,66.9,11.7,36.8,9.7,4.197087495450408
2017-08-17,199.8,3.1,34.6,11.4,2.63997727591536
2017-08-24,100.4,9.6,3.6,10.7,2.700796983527809
2017-08-31,216.4,41.7,39.6,22.6,4.828673633677489
2017-09-07,182.6,46.2,58.7,21.2,3.797521241716193
2017-09-14,262.7,28.8,15.9,20.2,3.794758419311149
2017-09-21,198.9,49.4,60.0,23.7,3.12083263439633
2017-09-28,7.3,28.1,41.4,5.5,4.709257464016004
2017-10-05,136.2,19.2,16.6,13.2,5.28380349432767
2017-10-12,210.8,49.6,37.7,23.8,3.4181365366532233
2017-10-19,210.7,29.5,9.3,18.4,5.506635134777033
2017-10-26,53.5,2.0,21.4,8.1,4.612777906951625
2017-11-02,261.3,42.7,54.7,24.2,4.245158871125842
2017-11-09,239.3,15.5,27.3,15.7,4.2274061255606625
2017-11-16,102.7,29.6,8.4,14.0,2.2992365091187987
2017-11-23,131.1,42.8,28.9,18.0,4.760500299727246
2017-11-30,69.0,9.3,0.9,9.3,4.249848184528421
2017-12-07,31.5,24.6,2.2,9.5,6.893649565950584
2017-12-14,139.3,14.5,10.2,13.4,2.3615301878832673
2017-12-21,237.4,27.5,11.0,18.9,3.0094424372671043
2017-12-28,216.8,43.9,27.2,22.3,2.759164276828832
2018-01-04,199.1,30.6,38.7,18.3,2.855038321979298
2018-01-11,109.8,14.3,31.7,12.4,2.8266496817640396
2018-01-18,26.8,33.0,19.3,8.8,5.4966752005163055
2018-01-25,129.4,5.7,31.3,11.0,4.616257064609057
2018-02-01,213.4,24.6,13.1,17.0,4.38586892861529
2018-02-08,16.9,43.7,89.4,8.7,2.469882650072172
